# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
DaNDii	डण्डी
Daah	डाह
DaakTar	डाक्टर
DaakTarii	डाक्टरी
Daayarii	डायरी
Daa~Daakaa~Daa	डाँडाकाँडा
Daa~Do	डाँडो
Daa~Th	डाँठ
Dabal	डबल
Dabalii	डबली
Dakaitii	डकैती
DakumenTrii	डकुमेन्ट्री
Dallo	डल्लो
Damm	डम्म
Damphu	डम्फु
Dar	डर
Daraae	डराए
Daraaeko	डराएको
Daraaune	डराउने
Daraaunu	डराउनु
Daraau~chh	डराउँछ
Daraau~dai	डराउँदै
Daraayo	डरायो
Derii	डेरी
DhaaD	ढाड
DhaaDas	ढाडस
Dhaakachhop	ढाकछोप
Dhaal	ढाल
Dhaalchh	ढाल्छ
Dhaaldaa	ढाल्दा
Dhaaldai	ढाल्दै
Dhaale	ढाले
Dhaaleko	ढालेको
Dhaalne	ढाल्ने
Dhaalnu	ढाल्नु
Dhaalyo	ढाल्यो
Dhaa~T	ढाँट
Dhaa~chaa	ढाँचा
DhaiMchaa	ढैंचा
Dhakamakk	ढकमक्क
Dhal	ढल
Dha~Ng	ढङ्ग
Dhilaai	ढिलाइ
Dhilaasustii	ढिलासुस्ती
Dhilo	ढिलो
Dhipii	ढिपी
Dhi~Do	ढिँडो
Dhog	ढोग
Dhoke	ढोके
Dhol	ढोल
Dholak	ढोलक
DhukaDhuk	ढुकढुक
DhukaDhukii	ढुकढुकी
Dhukk	ढुक्क
DhukuTii	ढुकुटी
Dhuvaanii	ढुवानी
Dhu~Ngaa	ढुङ्गा
Dhu~Nge	ढुङ्गे
Dhu~Ngo	ढुङ्गो
Dhyaa~Ngro	ढ्याङ्ग्रो
Dijel	डिजेल
Dilar	डिलर
Dipo	डिपो
DisTilarii	डिस्टिलरी
Dob	डोब
Dojar	डोजर
Dolii	डोली
Dorii	डोरी
Dres	ड्रेस
Dubaan	डुबान
DyaaDii	ड्याडी
DyuTii	ड्युटी
RRiN	ऋण
RRiNii	ऋणी
RRiShi	ऋषि
RRitu	ऋतु
ShaDayantr	षडयन्त्र
TaDkaaro	टड्कारो
Taa	टा
TaaDhaa	टाढा
Taaip	टाइप
TaaiparaaiTar	टाइपराइटर
TaaiphaaiD	टाइफाइड
Taapu	टापु
Taauko	टाउको
Taavar	टावर
Taayal	टायल
Taharo	टहरो
Tak	टक
Takk	टक्क
Takkar	टक्कर
Tamm	टम्म
Tann	टन्न
Tap	टप
Taparii	टपरी
Tarch	टर्च
Tek	टेक
Teknik	टेक्निक
Teknolojii	टेक्नोलोजी
Telibhijan	टेलिभिजन
Teliphon	टेलिफोन
Tempo	टेम्पो
TenDar	टेन्डर
Tenis	टेनिस
TesT	टेस्ट
ThaTTaa	ठट्टा
ThaaDo	ठाडो
Thaanchh	ठान्छ
Thaandaa	ठान्दा
Thaandai	ठान्दै
Thaane	ठाने
Thaaneko	ठानेको
Thaanne	ठान्ने
Thaannu	ठान्नु
Thaanyo	ठान्यो
Thaau~	ठाउँ
Thag	ठग
Thagii	ठगी
Thahar	ठहर
Thamyaai	ठम्याइ
Thegaan	ठेगान
Thekedaar	ठेकेदार
Thekkaa	ठेक्का
ThekkaapaTTaa	ठेक्कापट्टा
Thelii	ठेली
ThiTii	ठिटी
Thiik	ठीक
Thokuvaa	ठोकुवा
ThuulaabaDaa	ठूलाबडा
Thuulii	ठूली
Thuulo	ठूलो
TiikaaTippaNii	टीकाटिप्पणी
TikaT	टिकट
Tikaau	टिकाउ
Tim	टिम
Tin	टिन
TipoT	टिपोट
TippaNii	टिप्पणी
Tokarii	टोकरी
Tol	टोल
Tolii	टोली
Tralii	ट्रली
TreDamaark	ट्रेडमार्क
Treki~N	ट्रेकिङ
Tren	ट्रेन
Tuhuro	टुहुरो
Tukraa	टुक्रा
TuluTulu	टुलुटुलु
Tu~Daal	टुँडाल
Tu~Dikhel	टुँडिखेल
Tu~Ngo	टुङ्गो
Tyaa~Nkar	ट्याङ्कर
Tyusan	ट्युसन
a	अँ
a	आँ
aDDaa	अड्डा
aDaan	अडान
aDakal	अडकल
aDchan	अड्चन
aDes	अडेस
aDhaai	अढाइ
aDhaaii	अढाई
aDig	अडिग
aDinii	अडिनी
aDiyo	अडियो
aMgrej	अंग्रेज
aMgrejii	अंग्रेजी
aMk	अंक
aMkagaNit	अंकगणित
aMsh	अंश
aNDaa	अण्डा
aShTamii	अष्टमी
aTTahaas	अट्टहास
aTal	अटल
aThThaais	अठ्ठाइस
aThaar	अठार
aThaarau~	अठारौँ
aThatiis	अठतीस
aThoT	अठोट
aTo	अटो
aTuT	अटुट
aa	आँ
aaD	आड
aaDambar	आडम्बर
aaMshik	आंशिक
aaNavik	आणविक
aaShaaDh	आषाढ
aaTh	आठ
aaThapahariyaa	आठपहरिया
aaThau~	आठौँ
aabha	आभा
aabhaa	आभा
aabhaar	आभार
aabhaari	आभारी
aabhaarii	आभारी
aabhaas	आभास
aabhar	आभार
aabhari	आभारी
aabharii	आभारी
aabhas	आभास
aach	आँच
aachaar	आचार
aachar	आचार
aacharaN	आचरण
aacharan	आचरण
aad	आड
aadambar	आडम्बर
aadar	आदर
aadaraNiiy	आदरणीय
aadaraarthi	आदरार्थी
aadaraarthii	आदरार्थी
aadaraniiy	आदरणीय
aadaraniy	आदरणीय
aadararthi	आदरार्थी
aadararthii	आदरार्थी
aadarsh	आदर्श
aadarshavaadi	आदर्शवादी
aadarshavaadii	आदर्शवादी
aadarshavadi	आदर्शवादी
aadarshavadii	आदर्शवादी
aadat	आदत
aadesh	आदेश
aadha	आधा
aadhaa	आधा
aadhaar	आधार
aadhaarabhut	आधारभूत
aadhaarabhuut	आधारभूत
aadhaarit	आधारित
aadhar	आधार
aadharabhut	आधारभूत
aadharabhuut	आधारभूत
aadharit	आधारित
aadhi	आँधी
aadhii	आँधी
aadhikaarik	आधिकारिक
aadhikaarikata	आधिकारिकता
aadhikaarikataa	आधिकारिकता
aadhikarik	आधिकारिक
aadhikarikata	आधिकारिकता
aadhikarikataa	आधिकारिकता
aadhipaty	आधिपत्य
aadhunik	आधुनिक
aadhunikata	आधुनिकता
aadhunikataa	आधुनिकता
aadhunikiikaraN	आधुनिकीकरण
aadhunikiikaran	आधुनिकीकरण
aadhunikikaran	आधुनिकीकरण
aadhyaatmik	आध्यात्मिक
aadhyatmik	आध्यात्मिक
aadi	आदि
aadim	आदिम
aadivaasi	आदिवासी
aadivaasii	आदिवासी
aadivasi	आदिवासी
aadivasii	आदिवासी
aae	आए
aaeko	आएको
aagaami	आगामी
aagaamii	आगामी
aagajani	आगजनी
aagajanii	आगजनी
aagalaagi	आगलागी
aagalaagii	आगलागी
aagalagi	आगलागी
aagalagii	आगलागी
aagami	आगामी
aagamii	आगामी
aagantuk	आगन्तुक
aaghaat	आघात
aaghat	आघात
aago	आगो
aagrah	आग्रह
aaha	आहा
aahaa	आहा
aahaal	आहाल
aahaar	आहार
aahaara	आहारा
aahaaraa	आहारा
aahal	आहाल
aahar	आहार
aahara	आहारा
aaharaa	आहारा
aahat	आहत
aahuti	आहुति
aahvaan	आह्वान
aahvan	आह्वान
aaimaai	आइमाई
aaimaaii	आइमाई
aaimai	आइमाई
aaimaii	आइमाई
aainda	आइन्दा
aaindaa	आइन्दा
aairan	आइरन
aaitabaar	आइतबार
aaitabar	आइतबार
aaj	आज
aajit	आजित
aakRRiShT	आकृष्ट
aakRRiti	आकृति
aakShep	आक्षेप
aakaanksha	आकाङ्क्षा
aakaankshaa	आकाङ्क्षा
aakaar	आकार
aakaash	आकाश
aakaa~NkShaa	आकाङ्क्षा
aakada	आँकडा
aakadaa	आँकडा
aakalan	आकलन
aakanksha	आकाङ्क्षा
aakankshaa	आकाङ्क्षा
aakar	आकार
aakarShaN	आकर्षण
aakarShak	आकर्षक
aakarShit	आकर्षित
aakarshak	आकर्षक
aakarshan	आकर्षण
aakarshit	आकर्षित
aakash	आकाश
aakasmik	आकस्मिक
aakhibhau	आँखीभौँ
aakhiibhau	आँखीभौँ
aakhiri	आखिरी
aakhirii	आखिरी
aakhyaan	आख्यान
aakhyan	आख्यान
aakraamak	आक्रामक
aakraant	आक्रान्त
aakramaN	आक्रमण
aakramak	आक्रामक
aakraman	आक्रमण
aakrant	आक्रान्त
aakrisht	आकृष्ट
aakriti	आकृति
aakshep	आक्षेप
aalaTaal	आलटाल
aalasy	आलस्य
aalataal	आलटाल
aalatal	आलटाल
aalekh	आलेख
aali	आली
aalii	आली
aalo	आलो
aalochak	आलोचक
aalochana	आलोचना
aalochanaa	आलोचना
aalochanaatmak	आलोचनात्मक
aalochanatmak	आलोचनात्मक
aalochit	आलोचित
aalok	आलोक
aalu	आलु
aam	आम
aama	आमा
aamaa	आमा
aamajanata	आमजनता
aamajanataa	आमजनता
aamantrit	आमन्त्रित
aamasanchaar	आमसञ्चार
aamasanchar	आमसञ्चार
aamasa~nchaar	आमसञ्चार
aamdaani	आम्दानी
aamdaanii	आम्दानी
aamdani	आम्दानी
aamdanii	आम्दानी
aan	आङ
aana	आना
aanaa	आना
aanaakaani	आनाकानी
aanaakaanii	आनाकानी
aanaakani	आनाकानी
aanaakanii	आनाकानी
aanakaani	आनाकानी
aanakaanii	आनाकानी
aanakani	आनाकानी
aanakanii	आनाकानी
aanand	आनन्द
aanandit	आनन्दित
aanavik	आणविक
aandolan	आन्दोलन
aandolanakaari	आन्दोलनकारी
aandolanakaarii	आन्दोलनकारी
aandolanakari	आन्दोलनकारी
aandolanakarii	आन्दोलनकारी
aandolanarat	आन्दोलनरत
aandolit	आन्दोलित
aandro	आन्द्रो
aanshik	आंशिक
aantarik	आन्तरिक
aap	आँप
aaparaadhik	आपराधिक
aaparadhik	आपराधिक
aapas	आपस
aapasi	आपसी
aapasii	आपसी
aapat	आपत
aapatti	आपत्ति
aapattijanak	आपत्तिजनक
aaphant	आफन्त
aaphu	आफू
aaphuu	आफू
aapravaasi	आप्रवासी
aapravaasii	आप्रवासी
aapravasi	आप्रवासी
aapravasii	आप्रवासी
aapurti	आपूर्ति
aapuurti	आपूर्ति
aaraadhana	आराधना
aaraadhanaa	आराधना
aaraam	आराम
aaraamadaayi	आरामदायी
aaraamadaayii	आरामदायी
aaraamadayi	आरामदायी
aaraamadayii	आरामदायी
aaradhana	आराधना
aaradhanaa	आराधना
aarakSh	आरक्ष
aaraksh	आरक्ष
aaram	आराम
aaramadaayi	आरामदायी
aaramadaayii	आरामदायी
aaramadayi	आरामदायी
aaramadayii	आरामदायी
aarambh	आरम्भ
aaran	आरन
aarati	आरती
aaratii	आरती
aarjan	आर्जन
aarmi	आर्मी
aarmii	आर्मी
aaroh	आरोह
aarohi	आरोही
aarohii	आरोही
aarop	आरोप
aaropit	आरोपित
aarthik	आर्थिक
aas	आस
aasan	आसन
aasann	आसन्न
aasapaas	आसपास
aasapas	आसपास
aasepaase	आसेपासे
aasepase	आसेपासे
aasha	आशा
aashaa	आशा
aashaadh	आषाढ
aashaavaadi	आशावादी
aashaavaadii	आशावादी
aashaavadi	आशावादी
aashaavadii	आशावादी
aashadh	आषाढ
aashavaadi	आशावादी
aashavaadii	आशावादी
aashavadi	आशावादी
aashavadii	आशावादी
aashay	आशय
aashchary	आश्चर्य
aashcharyachakit	आश्चर्यचकित
aashcharyajanak	आश्चर्यजनक
aashiirvaad	आशीर्वाद
aashiirvad	आशीर्वाद
aashirvaad	आशीर्वाद
aashirvad	आशीर्वाद
aashram	आश्रम
aashray	आश्रय
aashrit	आश्रित
aashvaasan	आश्वासन
aashvasan	आश्वासन
aashvast	आश्वस्त
aashvin	आश्विन
aastha	आस्था
aasthaa	आस्था
aastik	आस्तिक
aatank	आतङ्क
aatankavaadi	आतङ्कवादी
aatankavaadii	आतङ्कवादी
aatankavadi	आतङ्कवादी
aatankavadii	आतङ्कवादी
aata~Nk	आतङ्क
aata~Nkavaadii	आतङ्कवादी
aath	आठ
aathapahariya	आठपहरिया
aathapahariyaa	आठपहरिया
aathau	आठौँ
aatma	आत्मा
aatmaa	आत्मा
aatmahatya	आत्महत्या
aatmahatyaa	आत्महत्या
aatmanirNay	आत्मनिर्णय
aatmanirbharata	आत्मनिर्भरता
aatmanirbharataa	आत्मनिर्भरता
aatmanirnay	आत्मनिर्णय
aatmaparak	आत्मपरक
aatmasaat	आत्मसात्
aatmasamarpaN	आत्मसमर्पण
aatmasamarpan	आत्मसमर्पण
aatmasammaan	आत्मसम्मान
aatmasamman	आत्मसम्मान
aatmasat	आत्मसात्
aatmavishvaas	आत्मविश्वास
aatmavishvas	आत्मविश्वास
aatmiiy	आत्मीय
aatmiiyata	आत्मीयता
aatmiiyataa	आत्मीयता
